click_iter,latency_ms
1,1.153
2,0.909
3,0.915
4,0.758
5,0.782
6,0.805
7,0.77
8,0.9
9,0.775
10,0.807
11,0.717
12,0.767
13,0.808
14,0.809
15,0.784
16,0.862
17,0.759
18,0.799
19,0.705
20,0.831
21,0.728
22,0.826
23,0.773
24,0.738
25,0.756
26,0.762
27,0.749
28,0.721
29,2.256
30,0.86
31,0.758
32,0.731
33,0.754
34,0.765
35,0.72
36,0.753
37,0.707
38,0.774
39,0.758
40,0.796
41,1.795
42,0.726
43,0.717
44,0.712
45,0.69
46,0.749
47,0.753
48,0.797
49,3.368
50,0.727
51,0.726
52,1.232
53,0.799
54,0.736
55,0.96
56,0.731
57,0.72
58,0.712
59,0.697
60,0.725
61,0.747
62,0.77
63,0.776
64,0.719
65,0.694
66,0.741
67,0.741
68,0.867
69,0.749
70,0.701
71,0.694
72,0.703
73,0.69
74,0.681
75,0.701
76,0.722
77,0.743
78,0.798
79,0.733
80,0.884
81,0.774
82,0.745
83,0.763
84,0.776
85,0.782
86,0.775
87,0.768
88,2.407
89,0.865
90,0.814
91,0.726
92,0.797
93,0.903
94,0.807
95,0.725
96,0.751
97,0.801
98,0.768
99,0.768
100,0.728
